shipment_id,origin_port,destination_port,carrier_name,carrier_reliability,etd,eta,month,day_of_week,transit_days,container_type,risk_flag,base_delay_rate,seasonal_factor,weekday_factor,delay_probability,will_delay,delay_hours,delay_category
TRAIN-00031,Busan,Los Angeles,COSCO,0.9,2025-06-02T11:19:13.128172,2025-06-14T11:19:13.128172,6,0,12,40GP,False,0.14,0.0,0.02,0.14,False,0,on_time
TRAIN-00032,Shanghai,Singapore,COSCO,0.9,2025-09-25T11:19:13.128180,2025-10-02T11:19:13.128180,9,3,7,40GP,False,0.08,0.08,0.01,0.15,False,0,on_time
TRAIN-00033,Shanghai,Hamburg,HAPAG-LLOYD,0.91,2025-12-31T11:19:13.128187,2026-02-05T11:19:13.128187,12,2,36,20GP,False,0.28,0.08,0.0,0.33,False,0,on_time
TRAIN-00034,Ningbo,Long Beach,MSC,0.88,2025-01-29T11:19:13.128194,2025-02-14T11:19:13.128194,1,2,16,40HC,False,0.2,0.05,0.0,0.25,False,0,on_time
TRAIN-00035,Singapore,Rotterdam,ONE,0.87,2025-02-06T11:19:13.128201,2025-03-10T11:19:13.128201,2,3,32,20GP,False,0.22,0.15,0.01,0.4,False,0,on_time
TRAIN-00036,Shanghai,Singapore,COSCO,0.9,2025-04-29T11:19:13.128208,2025-05-06T11:19:13.128208,4,1,7,40GP,False,0.08,0.02,0.01,0.09,False,0,on_time
TRAIN-00037,New York,Rotterdam,HAPAG-LLOYD,0.91,2025-05-13T11:19:13.128215,2025-05-24T11:19:13.128215,5,1,11,20GP,False,0.18,0.0,0.01,0.16,False,0,on_time
TRAIN-00038,Singapore,Jakarta,MAERSK,0.92,2025-08-02T11:19:13.128222,2025-08-06T11:19:13.128222,8,5,4,40HC,False,0.1,0.05,0.05,0.15,False,0,on_time
TRAIN-00039,Shanghai,Long Beach,HMM,0.84,2025-11-07T11:19:13.128229,2025-11-22T11:19:13.128229,11,4,15,45HC,True,0.18,0.1,0.03,0.36,True,24,delayed
TRAIN-00040,Singapore,Rotterdam,EVERGREEN,0.86,2025-07-01T11:19:13.128237,2025-08-02T11:19:13.128237,7,1,32,20GP,False,0.22,0.03,0.01,0.3,False,0,on_time
TRAIN-00041,Shanghai,Rotterdam,HAPAG-LLOYD,0.91,2025-01-07T11:19:13.128244,2025-02-11T11:19:13.128244,1,1,35,40GP,False,0.25,0.05,0.01,0.28,False,0,on_time
TRAIN-00042,Shanghai,Los Angeles,MSC,0.88,2025-07-12T11:19:13.128251,2025-07-26T11:19:13.128251,7,5,14,40HC,False,0.15,0.03,0.05,0.23,False,0,on_time
TRAIN-00043,Busan,Los Angeles,MAERSK,0.92,2025-04-18T11:19:13.128258,2025-04-30T11:19:13.128258,4,4,12,20GP,False,0.14,0.02,0.03,0.14,False,0,on_time
TRAIN-00044,Hong Kong,Singapore,MAERSK,0.92,2025-10-10T11:19:13.128265,2025-10-15T11:19:13.128265,10,4,5,45HC,False,0.07,0.12,0.03,0.17,False,0,on_time
TRAIN-00045,Port Klang,Le Havre,MAERSK,0.92,2025-11-01T11:19:13.128272,2025-12-05T11:19:13.128272,11,5,34,45HC,False,0.26,0.1,0.05,0.36,True,85,delayed
TRAIN-00046,Yantian,Felixstowe,MAERSK,0.92,2025-11-24T11:19:13.128280,2026-01-01T11:19:13.128280,11,0,38,45HC,True,0.3,0.1,0.02,0.37,True,61,delayed
TRAIN-00047,Shanghai,Rotterdam,CMA CGM,0.85,2025-01-24T11:19:13.128287,2025-02-28T11:19:13.128287,1,4,35,40HC,True,0.25,0.05,0.03,0.613,True,36,delayed
TRAIN-00048,Hong Kong,Singapore,CMA CGM,0.85,2025-01-12T11:19:13.128296,2025-01-17T11:19:13.128296,1,6,5,45HC,False,0.07,0.05,0.05,0.2,False,0,on_time
TRAIN-00049,Shanghai,Singapore,HAPAG-LLOYD,0.91,2025-07-11T11:19:13.128303,2025-07-18T11:19:13.128303,7,4,7,40GP,False,0.08,0.03,0.03,0.11,False,0,on_time
TRAIN-00050,Ningbo,Long Beach,ONE,0.87,2025-01-26T11:19:13.128310,2025-02-11T11:19:13.128310,1,6,16,40HC,False,0.2,0.05,0.05,0.32,False,0,on_time
TRAIN-00051,Yantian,Seattle,MAERSK,0.92,2025-04-04T11:19:13.128318,2025-04-17T11:19:13.128318,4,4,13,45HC,False,0.12,0.02,0.03,0.12,False,0,on_time
TRAIN-00052,Ningbo,Long Beach,MAERSK,0.92,2025-03-17T11:19:13.128325,2025-04-02T11:19:13.128325,3,0,16,20GP,False,0.2,0.1,0.02,0.27,False,0,on_time
TRAIN-00053,Yantian,Felixstowe,EVERGREEN,0.86,2025-06-18T11:19:13.128332,2025-07-26T11:19:13.128332,6,2,38,40HC,False,0.3,0.0,0.0,0.34,True,24,delayed
TRAIN-00054,Hong Kong,Singapore,ONE,0.87,2025-06-19T11:19:13.128340,2025-06-24T11:19:13.128340,6,3,5,40GP,False,0.07,0.0,0.01,0.1,False,0,on_time
TRAIN-00055,Singapore,Jakarta,MAERSK,0.92,2025-08-07T11:19:13.128347,2025-08-11T11:19:13.128347,8,3,4,40HC,False,0.1,0.05,0.01,0.11,False,0,on_time
TRAIN-00056,Singapore,Rotterdam,HAPAG-LLOYD,0.91,2025-03-14T11:19:13.128354,2025-04-15T11:19:13.128354,3,4,32,40GP,False,0.22,0.1,0.03,0.32,False,0,on_time
TRAIN-00057,Shanghai,Hamburg,HAPAG-LLOYD,0.91,2025-11-30T11:19:13.128361,2026-01-05T11:19:13.128361,11,6,36,20GP,False,0.28,0.1,0.05,0.4,False,0,on_time
TRAIN-00058,Singapore,Jakarta,MAERSK,0.92,2025-10-04T11:19:13.128368,2025-10-08T11:19:13.128368,10,5,4,45HC,False,0.1,0.12,0.05,0.22,False,0,on_time
TRAIN-00059,New York,Rotterdam,EVERGREEN,0.86,2025-04-29T11:19:13.128374,2025-05-10T11:19:13.128374,4,1,11,40HC,False,0.18,0.02,0.01,0.25,False,0,on_time
TRAIN-00060,Shanghai,Singapore,COSCO,0.9,2025-12-24T11:19:13.128381,2025-12-31T11:19:13.128381,12,2,7,40GP,True,0.08,0.08,0.0,0.14,True,24,delayed
TRAIN-00061,Singapore,Rotterdam,MAERSK,0.92,2025-01-27T11:19:13.128389,2025-02-28T11:19:13.128389,1,0,32,20GP,False,0.22,0.05,0.02,0.24,False,0,on_time
TRAIN-00062,Shanghai,Hamburg,CMA CGM,0.85,2025-08-15T11:19:13.128396,2025-09-20T11:19:13.128396,8,4,36,20GP,False,0.28,0.05,0.03,0.39,False,0,on_time
TRAIN-00063,Shanghai,Rotterdam,HAPAG-LLOYD,0.91,2025-01-25T11:19:13.128402,2025-03-01T11:19:13.128402,1,5,35,45HC,False,0.25,0.05,0.05,0.32,True,86,delayed
TRAIN-00064,New York,Rotterdam,COSCO,0.9,2025-12-24T11:19:13.128412,2026-01-04T11:19:13.128412,12,2,11,40GP,False,0.18,0.08,0.0,0.24,True,24,delayed
TRAIN-00065,Shanghai,Rotterdam,MSC,0.88,2025-12-07T11:19:13.128420,2026-01-11T11:19:13.128420,12,6,35,45HC,True,0.25,0.08,0.05,0.38,True,24,delayed
TRAIN-00066,New York,Rotterdam,HAPAG-LLOYD,0.91,2025-09-29T11:19:13.128427,2025-10-10T11:19:13.128427,9,0,11,20GP,False,0.18,0.08,0.02,0.25,False,0,on_time
TRAIN-00067,Singapore,Jakarta,COSCO,0.9,2025-06-06T11:19:13.128434,2025-06-10T11:19:13.128434,6,4,4,45HC,True,0.1,0.0,0.03,0.273,True,27,delayed
TRAIN-00068,Yantian,Felixstowe,HMM,0.84,2025-06-27T11:19:13.128442,2025-08-04T11:19:13.128442,6,4,38,40HC,False,0.3,0.0,0.03,0.38,False,0,on_time
TRAIN-00069,Busan,Los Angeles,MAERSK,0.92,2025-04-04T11:19:13.128449,2025-04-16T11:19:13.128449,4,4,12,40HC,False,0.14,0.02,0.03,0.14,False,0,on_time
TRAIN-00070,Shanghai,Rotterdam,CMA CGM,0.85,2025-04-08T11:19:13.128456,2025-05-13T11:19:13.128456,4,1,35,40HC,True,0.25,0.02,0.01,0.31,True,24,delayed
TRAIN-00071,Shanghai,Long Beach,EVERGREEN,0.86,2025-01-13T11:19:13.128463,2025-01-28T11:19:13.128463,1,0,15,40GP,False,0.18,0.05,0.02,0.29,False,0,on_time
TRAIN-00072,Shanghai,Hamburg,MAERSK,0.92,2025-02-27T11:19:13.128470,2025-04-04T11:19:13.128470,2,3,36,40HC,False,0.28,0.15,0.01,0.39,False,0,on_time
TRAIN-00073,New York,Rotterdam,COSCO,0.9,2025-04-01T11:19:13.128477,2025-04-12T11:19:13.128477,4,1,11,45HC,False,0.18,0.02,0.01,0.19,False,0,on_time
TRAIN-00074,Shanghai,Rotterdam,HMM,0.84,2025-12-04T11:19:13.128484,2026-01-08T11:19:13.128484,12,3,35,20GP,False,0.25,0.08,0.01,0.39,False,0,on_time
TRAIN-00075,Port Klang,Le Havre,EVERGREEN,0.86,2025-12-17T11:19:13.128490,2026-01-20T11:19:13.128490,12,2,34,20GP,False,0.26,0.08,0.0,0.38,False,0,on_time
TRAIN-00076,Yantian,Felixstowe,EVERGREEN,0.86,2025-05-16T11:19:13.128497,2025-06-23T11:19:13.128497,5,4,38,40HC,False,0.3,0.0,0.03,0.37,False,0,on_time
TRAIN-00077,Shanghai,Long Beach,EVERGREEN,0.86,2025-11-30T11:19:13.128504,2025-12-15T11:19:13.128504,11,6,15,45HC,False,0.18,0.1,0.05,0.37,False,0,on_time
TRAIN-00078,Ningbo,Long Beach,HMM,0.84,2025-08-14T11:19:13.128511,2025-08-30T11:19:13.128511,8,3,16,20GP,False,0.2,0.05,0.01,0.31,False,0,on_time
TRAIN-00079,Yantian,Seattle,MAERSK,0.92,2025-11-11T11:19:13.128518,2025-11-24T11:19:13.128518,11,1,13,40GP,False,0.12,0.1,0.01,0.18,True,24,delayed
TRAIN-00080,Hong Kong,Singapore,CMA CGM,0.85,2025-02-02T11:19:13.128526,2025-02-07T11:19:13.128526,2,6,5,40HC,True,0.07,0.15,0.05,0.3,True,168,delayed
TRAIN-00081,Singapore,Jakarta,HAPAG-LLOYD,0.91,2025-03-04T11:19:13.128534,2025-03-08T11:19:13.128534,3,1,4,20GP,False,0.1,0.1,0.01,0.18,False,0,on_time
TRAIN-00082,Los Angeles,Hamburg,MAERSK,0.92,2025-10-15T11:19:13.128541,2025-11-08T11:19:13.128541,10,2,24,45HC,False,0.35,0.12,0.0,0.42,False,0,on_time
TRAIN-00083,Shanghai,Los Angeles,ONE,0.87,2025-10-15T11:19:13.128548,2025-10-29T11:19:13.128548,10,2,14,40GP,True,0.15,0.12,0.0,0.29,True,66,delayed
TRAIN-00084,Shanghai,Hamburg,CMA CGM,0.85,2025-07-07T11:19:13.128555,2025-08-12T11:19:13.128555,7,0,36,20GP,False,0.28,0.03,0.02,0.36,False,0,on_time
TRAIN-00085,Port Klang,Le Havre,CMA CGM,0.85,2025-03-17T11:19:13.128562,2025-04-20T11:19:13.128562,3,0,34,40GP,False,0.26,0.1,0.02,0.41,False,0,on_time
TRAIN-00086,Shanghai,Long Beach,HAPAG-LLOYD,0.91,2026-01-03T11:19:13.128569,2026-01-18T11:19:13.128569,1,5,15,20GP,True,0.18,0.05,0.05,0.545,True,31,delayed
TRAIN-00087,Port Klang,Le Havre,CMA CGM,0.85,2025-03-24T11:19:13.128577,2025-04-27T11:19:13.128577,3,0,34,40HC,False,0.26,0.1,0.02,0.655,False,0,on_time
TRAIN-00088,Hong Kong,Singapore,CMA CGM,0.85,2025-03-21T11:19:13.128585,2025-03-26T11:19:13.128585,3,4,5,40HC,False,0.07,0.1,0.03,0.23,False,0,on_time
TRAIN-00089,Hong Kong,Singapore,ONE,0.87,2025-08-11T11:19:13.128592,2025-08-16T11:19:13.128592,8,0,5,40GP,True,0.07,0.05,0.02,0.16,True,38,delayed
TRAIN-00090,Hong Kong,Singapore,ONE,0.87,2025-01-21T11:19:13.128599,2025-01-26T11:19:13.128599,1,1,5,20GP,False,0.07,0.05,0.01,0.15,False,0,on_time
TRAIN-00091,Shanghai,Long Beach,HMM,0.84,2025-12-17T11:19:13.128606,2026-01-01T11:19:13.128606,12,2,15,40GP,False,0.18,0.08,0.0,0.31,False,0,on_time
TRAIN-00092,Port Klang,Le Havre,HAPAG-LLOYD,0.91,2025-12-11T11:19:13.128613,2026-01-14T11:19:13.128613,12,3,34,40GP,True,0.26,0.08,0.01,0.616,True,167,delayed
TRAIN-00093,Shanghai,Long Beach,ONE,0.87,2025-10-23T11:19:13.128620,2025-11-07T11:19:13.128620,10,3,15,45HC,False,0.18,0.12,0.01,0.33,False,0,on_time
TRAIN-00094,Hong Kong,Singapore,HMM,0.84,2025-07-22T11:19:13.128626,2025-07-27T11:19:13.128626,7,1,5,40HC,False,0.07,0.03,0.01,0.16,False,0,on_time
TRAIN-00095,Port Klang,Le Havre,HAPAG-LLOYD,0.91,2025-11-23T11:19:13.128633,2025-12-27T11:19:13.128633,11,6,34,40HC,False,0.26,0.1,0.05,0.38,False,0,on_time
TRAIN-00096,Ningbo,Long Beach,MAERSK,0.92,2025-09-28T11:19:13.128640,2025-10-14T11:19:13.128640,9,6,16,40GP,False,0.2,0.08,0.05,0.28,False,0,on_time
TRAIN-00097,Hong Kong,Singapore,COSCO,0.9,2025-03-30T11:19:13.128647,2025-04-04T11:19:13.128647,3,6,5,40GP,False,0.07,0.1,0.05,0.2,False,0,on_time
TRAIN-00098,Yantian,Seattle,HAPAG-LLOYD,0.91,2025-06-24T11:19:13.128654,2025-07-07T11:19:13.128654,6,1,13,45HC,False,0.12,0.0,0.01,0.1,False,0,on_time
TRAIN-00099,Shanghai,Los Angeles,EVERGREEN,0.86,2025-01-21T11:19:13.128661,2025-02-04T11:19:13.128661,1,1,14,20GP,True,0.15,0.05,0.01,0.25,True,24,delayed
TRAIN-00100,Shanghai,Long Beach,MAERSK,0.92,2025-02-14T11:19:13.128677,2025-03-01T11:19:13.128677,2,4,15,40HC,True,0.18,0.15,0.03,0.31,True,24,delayed
TRAIN-00101,Singapore,Rotterdam,COSCO,0.9,2025-07-17T11:19:13.128686,2025-08-18T11:19:13.128686,7,3,32,40HC,True,0.22,0.03,0.01,0.24,True,96,delayed
TRAIN-00102,Singapore,Jakarta,MSC,0.88,2025-07-16T11:19:13.128693,2025-07-20T11:19:13.128693,7,2,4,20GP,False,0.1,0.03,0.0,0.13,False,0,on_time
TRAIN-00103,Hong Kong,Singapore,HAPAG-LLOYD,0.91,2025-08-21T11:19:13.128700,2025-08-26T11:19:13.128700,8,3,5,40GP,False,0.07,0.05,0.01,0.282,False,0,on_time
TRAIN-00104,Singapore,Jakarta,MAERSK,0.92,2025-11-13T11:19:13.128711,2025-11-17T11:19:13.128711,11,3,4,45HC,False,0.1,0.1,0.01,0.16,False,0,on_time
TRAIN-00105,Shanghai,Hamburg,HMM,0.84,2025-01-05T11:19:13.128719,2025-02-10T11:19:13.128719,1,6,36,40GP,False,0.28,0.05,0.05,0.43,False,0,on_time
TRAIN-00106,Shanghai,Long Beach,MSC,0.88,2025-08-20T11:19:13.128727,2025-09-04T11:19:13.128727,8,2,15,20GP,False,0.18,0.05,0.0,0.23,False,0,on_time
TRAIN-00107,Shanghai,Singapore,HMM,0.84,2025-01-05T11:19:13.128734,2025-01-12T11:19:13.128734,1,6,7,20GP,False,0.08,0.05,0.05,0.23,True,24,delayed
TRAIN-00108,Shanghai,Rotterdam,ONE,0.87,2025-02-27T11:19:13.128741,2025-04-03T11:19:13.128741,2,3,35,20GP,False,0.25,0.15,0.01,0.43,True,24,delayed
TRAIN-00109,Yantian,Seattle,EVERGREEN,0.86,2025-10-20T11:19:13.128749,2025-11-02T11:19:13.128749,10,0,13,45HC,False,0.12,0.12,0.02,0.3,False,0,on_time
TRAIN-00110,Shanghai,Long Beach,MAERSK,0.92,2025-08-18T11:19:13.128757,2025-09-02T11:19:13.128757,8,0,15,40GP,False,0.18,0.05,0.02,0.2,False,0,on_time
TRAIN-00111,Shanghai,Hamburg,HMM,0.84,2025-08-25T11:19:13.128763,2025-09-30T11:19:13.128763,8,0,36,40HC,True,0.28,0.05,0.02,0.63,True,24,delayed
TRAIN-00112,Busan,Los Angeles,COSCO,0.9,2025-11-16T11:19:13.128770,2025-11-28T11:19:13.128770,11,6,12,40HC,False,0.14,0.1,0.05,0.27,False,0,on_time
TRAIN-00113,Yantian,Seattle,HMM,0.84,2025-06-27T11:19:13.128777,2025-07-10T11:19:13.128777,6,4,13,45HC,False,0.12,0.0,0.03,0.2,False,0,on_time
TRAIN-00114,New York,Rotterdam,EVERGREEN,0.86,2025-06-08T11:19:13.128784,2025-06-19T11:19:13.128784,6,6,11,40HC,False,0.18,0.0,0.05,0.27,False,0,on_time
TRAIN-00115,Singapore,Jakarta,ONE,0.87,2025-12-19T11:19:13.128791,2025-12-23T11:19:13.128791,12,4,4,40HC,False,0.1,0.08,0.03,0.23,False,0,on_time
TRAIN-00116,Shanghai,Rotterdam,COSCO,0.9,2025-11-21T11:19:13.128798,2025-12-26T11:19:13.128798,11,4,35,45HC,True,0.25,0.1,0.03,0.36,True,24,delayed
TRAIN-00117,Shanghai,Los Angeles,EVERGREEN,0.86,2025-01-18T11:19:13.128805,2025-02-01T11:19:13.128805,1,5,14,40HC,True,0.15,0.05,0.05,0.29,True,59,delayed
TRAIN-00118,New York,Rotterdam,MSC,0.88,2025-09-05T11:19:13.128813,2025-09-16T11:19:13.128813,9,4,11,20GP,True,0.18,0.08,0.03,0.29,True,50,delayed
TRAIN-00119,Busan,Los Angeles,HMM,0.84,2025-07-18T11:19:13.128820,2025-07-30T11:19:13.128820,7,4,12,45HC,True,0.14,0.03,0.03,0.25,True,24,delayed
TRAIN-00120,Hong Kong,Singapore,CMA CGM,0.85,2025-07-06T11:19:13.128828,2025-07-11T11:19:13.128828,7,6,5,20GP,False,0.07,0.03,0.05,0.18,False,0,on_time
TRAIN-00121,Shanghai,Singapore,CMA CGM,0.85,2025-04-17T11:19:13.128835,2025-04-24T11:19:13.128835,4,3,7,40GP,False,0.08,0.02,0.01,0.14,False,0,on_time
TRAIN-00122,Port Klang,Le Havre,COSCO,0.9,2025-10-10T11:19:13.128842,2025-11-13T11:19:13.128842,10,4,34,20GP,False,0.26,0.12,0.03,0.39,False,0,on_time
TRAIN-00123,Yantian,Felixstowe,EVERGREEN,0.86,2025-09-05T11:19:13.128849,2025-10-13T11:19:13.128849,9,4,38,45HC,False,0.3,0.08,0.03,0.45,False,0,on_time
TRAIN-00124,Port Klang,Le Havre,MSC,0.88,2025-10-30T11:19:13.128855,2025-12-03T11:19:13.128855,10,3,34,40HC,False,0.26,0.12,0.01,0.39,True,24,delayed
TRAIN-00125,Hong Kong,Singapore,EVERGREEN,0.86,2025-07-22T11:19:13.128863,2025-07-27T11:19:13.128863,7,1,5,45HC,False,0.07,0.03,0.01,0.15,False,0,on_time
TRAIN-00126,Hong Kong,Singapore,ONE,0.87,2025-10-03T11:19:13.128870,2025-10-08T11:19:13.128870,10,4,5,40HC,False,0.07,0.12,0.03,0.24,True,105,delayed
TRAIN-00127,Port Klang,Le Havre,HMM,0.84,2025-02-07T11:19:13.128877,2025-03-13T11:19:13.128877,2,4,34,20GP,False,0.26,0.15,0.03,0.49,False,0,on_time
TRAIN-00128,Hong Kong,Singapore,MAERSK,0.92,2025-01-16T11:19:13.128884,2025-01-21T11:19:13.128884,1,3,5,40HC,False,0.07,0.05,0.01,0.08,False,0,on_time
TRAIN-00129,Shanghai,Rotterdam,COSCO,0.9,2025-01-20T11:19:13.128891,2025-02-24T11:19:13.128891,1,0,35,20GP,False,0.25,0.05,0.02,0.3,False,0,on_time
TRAIN-00130,Shanghai,Singapore,EVERGREEN,0.86,2025-06-25T11:19:13.128898,2025-07-02T11:19:13.128898,6,2,7,20GP,False,0.08,0.0,0.0,0.12,False,0,on_time
TRAIN-00131,Shanghai,Hamburg,CMA CGM,0.85,2025-11-29T11:19:13.128905,2026-01-04T11:19:13.128905,11,5,36,40HC,False,0.28,0.1,0.05,0.46,True,39,delayed
TRAIN-00132,Hong Kong,Singapore,HMM,0.84,2026-01-02T11:19:13.128912,2026-01-07T11:19:13.128912,1,4,5,20GP,False,0.07,0.05,0.03,0.2,False,0,on_time
TRAIN-00133,Los Angeles,Hamburg,COSCO,0.9,2025-12-01T11:19:13.128924,2025-12-25T11:19:13.128924,12,0,24,40GP,True,0.35,0.08,0.02,0.43,True,53,delayed
TRAIN-00134,Singapore,Rotterdam,MAERSK,0.92,2025-12-30T11:19:13.128936,2026-01-31T11:19:13.128936,12,1,32,20GP,False,0.22,0.08,0.01,0.441,False,0,on_time
TRAIN-00135,Singapore,Rotterdam,MSC,0.88,2025-03-18T11:19:13.128943,2025-04-19T11:19:13.128943,3,1,32,20GP,False,0.22,0.1,0.01,0.33,False,0,on_time
TRAIN-00136,Shanghai,Singapore,HMM,0.84,2025-04-19T11:19:13.128950,2025-04-26T11:19:13.128950,4,5,7,40GP,False,0.08,0.02,0.05,0.2,False,0,on_time
TRAIN-00137,Singapore,Rotterdam,MAERSK,0.92,2025-07-24T11:19:13.128957,2025-08-25T11:19:13.128957,7,3,32,20GP,False,0.22,0.03,0.01,0.21,False,0,on_time
TRAIN-00138,Singapore,Jakarta,CMA CGM,0.85,2025-10-28T11:19:13.128964,2025-11-01T11:19:13.128964,10,1,4,40GP,False,0.1,0.12,0.01,0.26,False,0,on_time
